,Area,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue,6th most common venue,7th most common venue,8th most common venue,9th most common venue,10th most common venue,11th most common venue,12th most common venue,13th most common venue,14th most common venue,15th most common venue
0,A. S. Rao Nagar,Café,Pizzeria,Indian Restaurant,Burger Joint,Chinese Restaurant,Bakery,Fast Food Restaurant,Hospital,Ice Cream Parlor,Indie Movie Theater,Lake,Clothing Store,Mobile Phone Store,Retail,Miscellaneous Store
1,A.C. Guards,Indian Restaurant,Bakery,Café,Movie Theater,Hotel,Restaurant,South Indian Restaurant,Juice Bar,Chinese Restaurant,Diner,Bistro,Science Museum,Shopping Mall,Performing Arts Venue,"Cafe, Coffee, and Tea House"
2,Abids,Indian Restaurant,Bakery,South Indian Restaurant,Movie Theater,Restaurant,Café,Diner,Ice Cream Parlor,Retail,Chinese Restaurant,Burger Joint,Juice Bar,Hotel,French Restaurant,"Cafe, Coffee, and Tea House"
3,Addagutta,Restaurant,Bakery,Indian Restaurant,Asian Restaurant,Movie Theater,Coffee Shop,Café,Pub,BBQ Joint,Burger Joint,French Restaurant,Hookah Bar,Dessert Shop,Juice Bar,Public Transportation
4,Adikmet,Indian Restaurant,Restaurant,Bakery,Chinese Restaurant,Movie Theater,Juice Bar,Ice Cream Parlor,Deli,Café,Burger Joint,Lounge,Breakfast Spot,South Indian Restaurant,"Cafe, Coffee, and Tea House",Gaming Cafe
5,Aghapura,Indian Restaurant,Bakery,South Indian Restaurant,Juice Bar,Chinese Restaurant,Diner,Movie Theater,Retail,Ice Cream Parlor,Café,History Museum,Coffee Shop,Breakfast Spot,"Cafe, Coffee, and Tea House",Dessert Shop
6,Allwyn Colony,Bakery,Indian Restaurant,Restaurant,BBQ Joint,Pizzeria,Movie Theater,Sports and Recreation,Retail,Hotel,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,Cocktail Bar,Clothing Store,Breakfast Spot
7,Alwal,Restaurant,Pizzeria,Burger Joint,Bakery,Movie Theater,Sports and Recreation,Café,BBQ Joint,Deli,Fast Food Restaurant,Italian Restaurant,Diner,Park,Bowling Alley,Furniture and Home Store
8,Amberpet,Movie Theater,Indian Restaurant,Restaurant,Diner,Juice Bar,Bakery,South Indian Restaurant,Ice Cream Parlor,Retail,Food Truck,Café,Landmarks and Outdoors,French Restaurant,Burger Joint,Chaat Place
9,Ameenpur,Fast Food Restaurant,Indian Restaurant,Bakery,Government Building,Department Store,Clothing Store,Retail,Hindu Temple,Shoe Store,Pizzeria,Men's Store,Electronics Store,Sporting Goods Retail,Butcher,Post Office
10,Ameerpet,Indian Restaurant,Bakery,Restaurant,Bar,Retail,Fast Food Restaurant,Chinese Restaurant,Deli,Movie Theater,Coffee Shop,Ice Cream Parlor,Performing Arts Venue,Hotel Bar,Park,"Cafe, Coffee, and Tea House"
11,Ammuguda,Café,Pizzeria,Indian Restaurant,Burger Joint,Bakery,Deli,Chinese Restaurant,Restaurant,Fast Food Restaurant,Lake,Hospital,Ice Cream Parlor,Temple,Snack Place,Veterinarian
12,Anandbagh,Pizzeria,Indian Restaurant,Café,Burger Joint,Restaurant,Bakery,Deli,Movie Theater,Ice Cream Parlor,Chinese Restaurant,Fast Food Restaurant,Sports and Recreation,"Cafe, Coffee, and Tea House",Snack Place,Breakfast Spot
13,Ashok Nagar,Pizzeria,Indian Restaurant,Bakery,Café,Movie Theater,Stadium,Coffee Shop,Bar,Restaurant,Night Club,Fast Food Restaurant,Sports and Recreation,Clothing Store,Furniture and Home Store,Flea Market
14,Asif Nagar,Indian Restaurant,Bakery,Hotel,South Indian Restaurant,Café,BBQ Joint,Diner,Juice Bar,Movie Theater,Restaurant,Shopping Mall,Food Truck,Science Museum,"Cafe, Coffee, and Tea House",Bistro
15,Attapur,Indian Restaurant,Café,Restaurant,Bakery,South Indian Restaurant,Movie Theater,Historic and Protected Site,Juice Bar,Dessert Shop,Shopping Mall,Coffee Shop,Park,Zoo,Diner,Bistro
16,Azamabad,Restaurant,Dessert Shop,Pizzeria,Fast Food Restaurant,Bakery,BBQ Joint,Indian Restaurant,Grocery Store,Office Building,Hospital,Camera Store,Spiritual Center,Department Store,Courthouse,Movie Theater
17,BHEL Township,Pizzeria,Retail,Fast Food Restaurant,Indian Restaurant,Bakery,Government Building,Hospital,Convenience Store,Department Store,Asian Restaurant,Bicycle Store,Medical Center,Eyecare Store,Men's Store,Mosque
18,Bachupally,Pizzeria,Bakery,Indian Restaurant,Movie Theater,Deli,Furniture and Home Store,Fast Food Restaurant,Coffee Shop,Bar,Automotive Retail,Healthcare Clinic,Butcher,Shopping Mall,Café,Residential Building
19,Badangpet,Movie Theater,Temple,Garden Center,Park,Pizzeria,Hookah Bar,Government Building,Clothing Store,Restaurant,Health and Medicine,Afghan Restaurant,Middle Eastern Restaurant,Garden,Furniture and Home Store,Mediterranean Restaurant
20,Badichowdi,Indian Restaurant,Restaurant,South Indian Restaurant,Bakery,Movie Theater,Juice Bar,Chinese Restaurant,Retail,Café,Ice Cream Parlor,Diner,History Museum,Food Truck,Landmarks and Outdoors,Burger Joint
21,Bagh Lingampally,Indian Restaurant,Restaurant,South Indian Restaurant,Bakery,Movie Theater,Café,Juice Bar,Chinese Restaurant,Retail,Ice Cream Parlor,Diner,History Museum,Food Truck,Landmarks and Outdoors,Burger Joint
22,Bairamalguda,Pizzeria,Movie Theater,Indian Restaurant,Retail,Park,Ice Cream Parlor,Restaurant,Asian Restaurant,Coffee Shop,Temple,Burger Joint,Bowling Alley,Breakfast Spot,South Indian Restaurant,Electronics Store
23,Balanagar,Indian Restaurant,Restaurant,Bakery,Retail,Chinese Restaurant,Fast Food Restaurant,Pizzeria,Ice Cream Parlor,Deli,Pub,Hotel,Breakfast Spot,Bookstore,Sports and Recreation,Shopping Mall
24,Balapur,Restaurant,Indian Restaurant,Pizzeria,Afghan Restaurant,Office Building,Bakery,Juice Bar,Health and Medicine,High School,Clothing Store,Hospital,Movie Theater,College and University,Coffee Shop,Police Station
